,Type
Luna Industrie,Politique
Sam Bell 1,Technique
Sam Bell 2,Technique
Sam Bell 3,Technique
Mark ,Science
Mathieu,Science
John,Science
Gerty,Science
Tess (femme de Sam),Politique
Eve (file de Sam),Politique
Kathy (bonne),Autre
Doug (l'arbre）,Autre
Kath (l'herbe),Autre
Femme inconnue,Autre
Katherin (la fleur),Autre
Sam Bell Original,Politique
Autres clones,Technique
Le public,Politique
