Personnages,Type
Polly,Vivant
Ben,Vivant
Docteur,Vivant
Examiner,Vivant
Bragen,Vivant
Quinn,Vivant
Lesterson,Mort (assassiné)
Janley,Vivant
Hensell,Vivant
Resno,Vivant
Dalek,Vivant
Dalek 2,Vivant
Valmar,Vivant
Guard,Vivant
Kebble,Vivant
Dalek 3,Vivant
