Personnages,Type
Polly,Indef
Ben,Indef
Docteur,Science
Examiner,Science
Bragen,Militaire
Quinn,Politique
Lesterson,Science
Janley,Science
Hensell,Politique
Resno,Science
Dalek,Militaire
Dalek 2,Militaire
Valmar,Science
Guard,Militaire
Kebble,Science
Dalek 3,Militaire
