,Type
Godzilla,Animal
Dr. Nick Tatopoulos ,Science
Philippe Roaché/Larochelle,Technique
Audrey Timmonds,Technique
Victor « Animal » Palotti,Technique
Colonel Hicks,Politique
Maire Ebert,Politique
Charles Caiman,Technique
Sergent O’Neal,Technique
Lucy Palotti,Indéfini
Dr. Elsie Chapman,Science
Dr. Mendel Craven,Science
Gene l’assistant du maire,Politique
Gouverneur de la ville de New York,Politique
Général Anderson,Politique
Amiral Phelps,Politique
Lieutenant Anderson,Technique
Capitaine du sous-marin Anchorage,Technique
Ed l'ingénieur de WIDF News,Technique
Jean-Luc,Technique
Jean-Claude,Technique
Jean-Pierre,Technique
Jean-Philippe,Technique
la secrétaire de Caiman,Technique
la pharmacienne,Science
Joe le vieux pêcheur,Indéfini
SDF 1,Indéfini
SDF 2,Indéfini
Rescapé japonais,Technique
Kyle Terrington,Technique
Bebezillas,Animal
Pêcheurs Japonais,Technique
Pêcheurs américains,Technique
Dinosaures,Animal
Jamaicains,Indéfini
Soldats américains,Technique
Médecins tahitiens,Science
Gardes tahitiens,Technique
Panaméens,Indéfini
Lombric de Tchernobyl ,Animal
Gouvernement français,Politique
New-Yorkais,Indéfini
Co-présentatrive TV,Technique
Policiers jamaicains,Technique
Policiers NY,Technique
Ministre de la défense,Politique
Sponsor,Politique
Pillards,Indéfini
Elvis ‘King’ Presley,Art
